#ORDER,CNE_NAME,SYMBOL,START,STOP
121,CRCNE00000202:CRCNE00000201:CRCNE00000200,O,43,48
122,CRCNE00000202:CRCNE00000201:CRCNE00000200,7,45,52
123,CRCNE00000202:CRCNE00000201:CRCNE00000200,0,151,158
124,CRCNE00000202:CRCNE00000201:CRCNE00000200,I,176,183
125,CRCNE00000202:CRCNE00000201:CRCNE00000200,G,215,220
126,CRCNE00000203,O,25,30
127,CRCNE00000203,5,29,35
128,CRCNE00000203,G,32,37
129,CRCNE00000203,A,69,74
130,CRCNE00000205,G,3,8
131,CRCNE00000205,G,112,117
132,CRCNE00000205,O,125,130
133,CRCNE00000205,P,140,147
134,CRCNE00000205,G,210,215
135,CRCNE00000205,Q,234,240
136,CRCNE00000206,2,85,92
137,CRCNE00000206,G,169,174
138,CRCNE00000206,H,225,234
139,CRCNE00000207,G,3,8
140,CRCNE00000207,S,7,13
141,CRCNE00000207,B,27,32
142,CRCNE00000208,B,18,23
143,CRCNE00000208,B,101,106
144,CRCNE00000210:CRCNE00000209,A,95,100
145,CRCNE00000210:CRCNE00000209,G,102,107
146,CRCNE00000210:CRCNE00000209,2,109,116
147,CRCNE00000210:CRCNE00000209,I,151,158
148,CRCNE00000210:CRCNE00000209,2,319,326
149,CRCNE00000210:CRCNE00000209,G,339,344
150,CRCNE00000210:CRCNE00000209,F,352,357
151,CRCNE00000211,A,58,63
152,CRCNE00000211,K,79,84
153,CRCNE00000211,U,111,117
154,CRCNE00000211,B,137,142
155,CRCNE00000211,A,140,145
156,CRCNE00000212,5,105,111
157,CRCNE00000212,5,129,135
158,CRCNE00000215:CRCNE00000214:CRCNE00000213,3,130,136
159,CRCNE00000215:CRCNE00000214:CRCNE00000213,5,175,181
160,CRCNE00000215:CRCNE00000214:CRCNE00000213,B,214,219
161,CRCNE00000215:CRCNE00000214:CRCNE00000213,A,251,256
162,CRCNE00000215:CRCNE00000214:CRCNE00000213,A,280,285
163,CRCNE00000216,0,49,56
164,CRCNE00000216,K,53,58
165,CRCNE00000216,2,141,148
166,CRCNE00000218:CRCNE00000217,A,118,123
167,CRCNE00000218:CRCNE00000217,H,167,176
168,CRCNE00000218:CRCNE00000217,0,210,217
169,CRCNE00000219,I,15,22
170,CRCNE00000219,U,57,63
171,CRCNE00000219,A,59,64
172,CRCNE00000220,O,20,25
173,CRCNE00000220,S,90,96
174,CRCNE00000220,O,112,117
175,CRCNE00000220,0,120,127
176,CRCNE00000221,G,48,53
177,CRCNE00000221,E,176,182
178,CRCNE00000221,S,360,366
179,CRCNE00000225:CRCNE00000224:CRCNE00000223,Q,69,75
180,CRCNE00000225:CRCNE00000224:CRCNE00000223,I,217,224
181,CRCNE00000225:CRCNE00000224:CRCNE00000223,A,348,353
182,CRCNE00000225:CRCNE00000224:CRCNE00000223,O,421,426
183,CRCNE00000225:CRCNE00000224:CRCNE00000223,A,431,436
184,CRCNE00000225:CRCNE00000224:CRCNE00000223,S,449,455
185,CRCNE00000225:CRCNE00000224:CRCNE00000223,A,530,535
186,CRCNE00000225:CRCNE00000224:CRCNE00000223,B,583,588
187,CRCNE00000226,7,40,47
188,CRCNE00000226,0,41,48
189,CRCNE00000226,J,63,70
190,CRCNE00000227,3,99,105
191,CRCNE00000227,A,163,168
192,CRCNE00000228,5,4,10
193,CRCNE00000228,G,30,35
194,CRCNE00000229,B,30,35
195,CRCNE00000229,G,85,90
196,CRCNE00000229,U,175,181
197,CRCNE00000229,A,177,182
198,CRCNE00000230,G,24,29
199,CRCNE00000230,3,52,58
200,CRCNE00000232,2,98,105
201,CRCNE00000232,B,145,150
202,CRCNE00000232,I,173,180
203,CRCNE00000232,H,189,198
204,CRCNE00000232,G,195,200
205,CRCNE00000232,B,281,286
206,CRCNE00000233,0,77,84
207,CRCNE00000233,0,121,128
208,CRCNE00000233,E,150,156
209,CRCNE00000233,G,207,212
210,CRCNE00000234,O,19,24
211,CRCNE00000234,K,74,79
212,CRCNE00000235,C,3,10
213,CRCNE00000235,2,82,89
214,CRCNE00000235,A,96,101
215,CRCNE00000235,A,241,246
216,CRCNE00000235,G,293,298
217,CRCNE00000235,H,295,304
218,CRCNE00000235,0,486,493
219,CRCNE00000238:CRCNE00000237,O,191,196
220,CRCNE00000241:CRCNE00000240,B,24,29
221,CRCNE00000241:CRCNE00000240,0,43,50
222,CRCNE00000241:CRCNE00000240,G,77,82
223,CRCNE00000241:CRCNE00000240,A,132,137
224,CRCNE00000241:CRCNE00000240,B,272,277
225,CRCNE00000241:CRCNE00000240,K,276,281
226,CRCNE00000241:CRCNE00000240,0,306,313
227,CRCNE00000241:CRCNE00000240,G,367,372
228,CRCNE00000241:CRCNE00000240,A,419,424
229,CRCNE00000243,A,139,144
230,CRCNE00000245,G,13,18
231,CRCNE00000245,5,20,26
232,CRCNE00000245,0,47,54
233,CRCNE00000245,D,75,82
234,CRCNE00000245,K,77,82
235,CRCNE00000245,B,108,113
236,CRCNE00000245,5,189,195
237,CRCNE00000248:CRCNE00000247,0,23,30
238,CRCNE00000248:CRCNE00000247,R,82,88
239,CRCNE00000248:CRCNE00000247,R,83,89
240,CRCNE00000248:CRCNE00000247,O,108,113
241,CRCNE00000248:CRCNE00000247,2,115,122
242,CRCNE00000248:CRCNE00000247,0,130,137
243,CRCNE00000248:CRCNE00000247,O,163,168
244,CRCNE00000248:CRCNE00000247,H,190,199
245,CRCNE00000248:CRCNE00000247,H,197,206
246,CRCNE00000248:CRCNE00000247,7,258,265
247,CRCNE00000248:CRCNE00000247,E,265,271
248,CRCNE00000248:CRCNE00000247,4,331,338
249,CRCNE00000248:CRCNE00000247,A,407,412
250,CRCNE00000248:CRCNE00000247,A,555,560
251,CRCNE00000249,0,35,42
252,CRCNE00000251:CRCNE00000250,0,136,143
253,CRCNE00000251:CRCNE00000250,J,304,311
254,CRCNE00000256:CRCNE00000255:CRCNE00000254:CRCNE00000253:CRCNE00000252,0,24,31
255,CRCNE00000256:CRCNE00000255:CRCNE00000254:CRCNE00000253:CRCNE00000252,C,57,64
256,CRCNE00000256:CRCNE00000255:CRCNE00000254:CRCNE00000253:CRCNE00000252,K,203,208
257,CRCNE00000256:CRCNE00000255:CRCNE00000254:CRCNE00000253:CRCNE00000252,B,354,359
258,CRCNE00000256:CRCNE00000255:CRCNE00000254:CRCNE00000253:CRCNE00000252,0,369,376
259,CRCNE00000256:CRCNE00000255:CRCNE00000254:CRCNE00000253:CRCNE00000252,5,388,394
260,CRCNE00000256:CRCNE00000255:CRCNE00000254:CRCNE00000253:CRCNE00000252,B,487,492
261,CRCNE00000257,2,53,60
262,CRCNE00000257,0,70,77
263,CRCNE00000259,O,17,22
264,CRCNE00000260,K,43,48
265,CRCNE00000261,5,34,40
266,CRCNE00000269:CRCNE00000268,G,61,66
267,CRCNE00000269:CRCNE00000268,0,83,90
268,CRCNE00000269:CRCNE00000268,0,106,113
269,CRCNE00000269:CRCNE00000268,5,139,145
270,CRCNE00000271,0,33,40
271,CRCNE00000273:CRCNE00000282:CRCNE00000272,B,50,55
272,CRCNE00000273:CRCNE00000282:CRCNE00000272,0,92,99
273,CRCNE00000275,G,65,70
274,CRCNE00000278:CRCNE00000244,0,132,139
275,CRCNE00000278:CRCNE00000244,2,144,151
276,CRCNE00000278:CRCNE00000244,B,173,178
277,CRCNE00000281:CRCNE00000265,G,17,22
278,CRCNE00000281:CRCNE00000265,A,66,71
279,CRCNE00000281:CRCNE00000265,7,220,227
280,CRCNE00000289:CRCNE00000204,B,26,31
281,CRCNE00000289:CRCNE00000204,Q,109,115
282,CRCNE00000289:CRCNE00000204,5,122,128
283,CRCNE00000289:CRCNE00000204,A,135,140
284,CRCNE00000289:CRCNE00000204,I,140,147
285,CRCNE00000291:CRCNE00000300,G,23,28
286,CRCNE00000291:CRCNE00000300,7,25,32
287,CRCNE00000293,2,31,38
288,CRCNE00000305,0,1,8
289,CRCNE00000305,B,32,37
290,CRCNE00000306:CRCNE00000307:CRCNE00000308,B,23,28
291,CRCNE00000306:CRCNE00000307:CRCNE00000308,G,67,72
292,CRCNE00000306:CRCNE00000307:CRCNE00000308,C,115,122
293,CRCNE00000306:CRCNE00000307:CRCNE00000308,B,143,148
294,CRCNE00000306:CRCNE00000307:CRCNE00000308,G,272,277
295,CRCNE00000306:CRCNE00000307:CRCNE00000308,G,276,281
296,CRCNE00000306:CRCNE00000307:CRCNE00000308,5,278,284
297,CRCNE00000309,5,76,82
298,CRCNE00000309,3,231,237
299,CRCNE00000309,G,244,249
300,CRCNE00000310:CRCNE00000311,0,51,58
301,CRCNE00000310:CRCNE00000311,G,86,91
302,CRCNE00000310:CRCNE00000311,K,156,161
303,CRCNE00000310:CRCNE00000311,0,260,267
304,CRCNE00000310:CRCNE00000311,0,317,324
305,CRCNE00000310:CRCNE00000311,K,365,370
306,CRCNE00000310:CRCNE00000311,2,481,488
307,CRCNE00000310:CRCNE00000311,5,510,516
308,CRCNE00000310:CRCNE00000311,K,515,520
309,CRCNE00000310:CRCNE00000311,G,536,541
310,CRCNE00000312,U,30,36
311,CRCNE00000314:CRCNE00000315,F,4,9
312,CRCNE00000316,0,28,35
313,CRCNE00000319,B,1,6
314,CRCNE00000319,J,113,120
315,CRCNE00000319,2,217,224
316,CRCNE00000321:CRCNE00000322,B,84,89
317,CRCNE00000321:CRCNE00000322,G,129,134
318,CRCNE00000321:CRCNE00000322,G,318,323
319,CRCNE00000321:CRCNE00000322,H,378,387
320,CRCNE00000323:CRCNE00000324,O,3,8
321,CRCNE00000323:CRCNE00000324,5,19,25
322,CRCNE00000323:CRCNE00000324,K,136,141
323,CRCNE00000325,G,18,23
324,CRCNE00000326,0,16,23
325,CRCNE00000326,G,54,59
326,CRCNE00000327,K,39,44
327,CRCNE00000328,G,153,158
328,CRCNE00000328,0,222,229
329,CRCNE00000328,7,314,321
330,CRCNE00000328,G,336,341
331,CRCNE00000328,G,419,424
332,CRCNE00000328,B,497,502
333,CRCNE00000328,O,518,523
334,CRCNE00000328,M,560,566
335,CRCNE00000328,B,567,572
336,CRCNE00000329:CRCNE00000394:CRCNE00000330,0,7,14
337,CRCNE00000329:CRCNE00000394:CRCNE00000330,B,324,329
338,CRCNE00000329:CRCNE00000394:CRCNE00000330,O,332,337
339,CRCNE00000329:CRCNE00000394:CRCNE00000330,5,334,340
340,CRCNE00000331,K,26,31
341,CRCNE00000331,A,29,34
342,CRCNE00000331,A,156,161
343,CRCNE00000331,G,340,345
344,CRCNE00000333,O,9,14
345,CRCNE00000333,O,60,65
346,CRCNE00000335:CRCNE00000374,5,29,35
347,CRCNE00000336,K,5,10
348,CRCNE00000337,G,8,13
349,CRCNE00000337,5,47,53
350,CRCNE00000338:CRCNE00000339:CRCNE00000400,C,52,59
351,CRCNE00000338:CRCNE00000339:CRCNE00000400,0,140,147
352,CRCNE00000338:CRCNE00000339:CRCNE00000400,A,162,167
353,CRCNE00000338:CRCNE00000339:CRCNE00000400,S,184,190
354,CRCNE00000340:CRCNE00000341,G,1,6
355,CRCNE00000340:CRCNE00000341,B,73,78
356,CRCNE00000342,E,6,12
357,CRCNE00000342,5,23,29
358,CRCNE00000343,O,3,8
359,CRCNE00000344,0,5,12
360,CRCNE00000345:CRCNE00000346,G,47,52
361,CRCNE00000345:CRCNE00000346,0,141,148
362,CRCNE00000350:CRCNE00000351:CRCNE00000378,Q,121,127
363,CRCNE00000352:CRCNE00000353,C,4,11
364,CRCNE00000352:CRCNE00000353,B,141,146
365,CRCNE00000352:CRCNE00000353,A,368,373
366,CRCNE00000354,O,108,113
367,CRCNE00000355,G,59,64
368,CRCNE00000359,G,28,33
369,CRCNE00000360:CRCNE00000361:CRCNE00000362,B,4,9
370,CRCNE00000360:CRCNE00000361:CRCNE00000362,S,135,141
371,CRCNE00000360:CRCNE00000361:CRCNE00000362,G,156,161
372,CRCNE00000363:CRCNE00000364:CRCNE00000365:CRCNE00000366,O,26,31
373,CRCNE00000363:CRCNE00000364:CRCNE00000365:CRCNE00000366,H,194,203
374,CRCNE00000363:CRCNE00000364:CRCNE00000365:CRCNE00000366,0,416,423
375,CRCNE00000367,G,85,90
376,CRCNE00000367,0,92,99
377,CRCNE00000368,7,53,60
378,CRCNE00000368,O,57,62
379,CRCNE00000368,K,68,73
380,CRCNE00000368,K,185,190
381,CRCNE00000368,0,243,250
382,CRCNE00000369,O,30,35
383,CRCNE00000369,B,36,41
384,CRCNE00000370:CRCNE00000371,Q,19,25
385,CRCNE00000370:CRCNE00000371,F,78,83
386,CRCNE00000370:CRCNE00000371,F,88,93
387,CRCNE00000370:CRCNE00000371,H,129,138
388,CRCNE00000373,0,1,8
389,CRCNE00000375:CRCNE00000347,K,82,87
390,CRCNE00000384,G,70,75
391,CRCNE00000384,A,84,89
392,CRCNE00000385,O,117,122
393,CRCNE00000385,5,175,181
394,CRCNE00000385,G,213,218
395,CRCNE00000385,A,279,284
396,CRCNE00000391,0,24,31
397,CRCNE00000395,G,33,38
398,CRCNE00000395,E,53,59
399,CRCNE00000401,0,42,49
400,CRCNE00000401,2,74,81
401,CRCNE00000401,E,99,105
402,CRCNE00000402,E,14,20
403,CRCNE00000402,0,44,51
404,CRCNE00000565,O,34,39
405,CRCNE00000565,3,36,42
406,CRCNE00000565,O,77,82
407,CRCNE00000565,O,115,120
408,CRCNE00000565,E,188,194
409,CRCNE00000567:CRCNE00000566,T,364,370
410,CRCNE00000567:CRCNE00000566,Q,377,383
411,CRCNE00000567:CRCNE00000566,A,431,436
412,CRCNE00000570:CRCNE00000569:CRCNE00000568,E,9,15
413,CRCNE00000570:CRCNE00000569:CRCNE00000568,O,173,178
414,CRCNE00000570:CRCNE00000569:CRCNE00000568,B,341,346
415,CRCNE00000570:CRCNE00000569:CRCNE00000568,B,403,408
416,CRCNE00000570:CRCNE00000569:CRCNE00000568,4,449,456
417,CRCNE00000571,A,34,39
418,CRCNE00000571,J,165,172
419,CRCNE00000571,B,195,200
420,CRCNE00000571,U,252,258
421,CRCNE00000571,G,284,289
422,CRCNE00000573,M,33,39
423,CRCNE00000573,O,48,53
424,CRCNE00000573,B,190,195
425,CRCNE00000574,I,24,31
426,CRCNE00000575:CRCNE00000597,A,107,112
427,CRCNE00000577,J,61,68
428,CRCNE00000577,H,118,127
429,CRCNE00000577,B,283,288
430,CRCNE00000578,2,6,13
431,CRCNE00000578,A,41,46
432,CRCNE00000578,5,102,108
433,CRCNE00000578,O,318,323
434,CRCNE00000578,7,320,327
435,CRCNE00000578,0,359,366
436,CRCNE00000579,0,145,152
437,CRCNE00000580,G,81,86
438,CRCNE00000581,5,124,130
439,CRCNE00000581,H,211,220
440,CRCNE00000583:CRCNE00000582,0,147,154
441,CRCNE00000587,2,36,43
442,CRCNE00000589,G,57,62
443,CRCNE00000589,O,61,66
444,CRCNE00000589,B,232,237
445,CRCNE00000589,F,234,239
446,CRCNE00000589,C,469,476
447,CRCNE00000590,2,10,17
448,CRCNE00000591,B,66,71
449,CRCNE00000593:CRCNE00000592,B,231,236
450,CRCNE00000593:CRCNE00000592,3,548,554
451,CRCNE00000596,B,5,10
452,CRCNE00000617:CRCNE00000586:CRCNE00000585:CRCNE00000584,O,14,19
453,CRCNE00000617:CRCNE00000586:CRCNE00000585:CRCNE00000584,Q,61,67
454,CRCNE00000636,K,31,36
455,CRCNE00000679:CRCNE00000621:CRCNE00000700:CRCNE00000701:CRCNE00000702:CRCNE00000703,M,35,41
456,CRCNE00000679:CRCNE00000621:CRCNE00000700:CRCNE00000701:CRCNE00000702:CRCNE00000703,O,189,194
457,CRCNE00000679:CRCNE00000621:CRCNE00000700:CRCNE00000701:CRCNE00000702:CRCNE00000703,0,232,239
458,CRCNE00000679:CRCNE00000621:CRCNE00000700:CRCNE00000701:CRCNE00000702:CRCNE00000703,P,295,302
459,CRCNE00000679:CRCNE00000621:CRCNE00000700:CRCNE00000701:CRCNE00000702:CRCNE00000703,B,341,346
460,CRCNE00000679:CRCNE00000621:CRCNE00000700:CRCNE00000701:CRCNE00000702:CRCNE00000703,O,471,476
461,CRCNE00000679:CRCNE00000621:CRCNE00000700:CRCNE00000701:CRCNE00000702:CRCNE00000703,B,532,537
462,CRCNE00000679:CRCNE00000621:CRCNE00000700:CRCNE00000701:CRCNE00000702:CRCNE00000703,O,539,544
463,CRCNE00000679:CRCNE00000621:CRCNE00000700:CRCNE00000701:CRCNE00000702:CRCNE00000703,0,581,588
464,CRCNE00000699,3,5,11
465,CRCNE00000699,B,37,42
466,CRCNE00000735,3,92,98
467,CRCNE00000748,C,43,50
468,CRCNE00000748,E,95,101
469,CRCNE00000750,H,48,57
470,CRCNE00000750,B,225,230
471,CRCNE00000750,G,318,323
472,CRCNE00000750,B,491,496
473,CRCNE00000751,G,70,75
474,CRCNE00000753,H,78,87
475,CRCNE00000753,G,84,89
476,CRCNE00000753,0,99,106
477,CRCNE00000753,U,118,124
478,CRCNE00000753,E,353,359
479,CRCNE00000754,A,73,78
480,CRCNE00000754,5,89,95
481,CRCNE00000754,C,120,127
482,CRCNE00000754,O,129,134
483,CRCNE00000754,H,177,186
484,CRCNE00000755,7,113,120
485,CRCNE00000755,G,121,126
486,CRCNE00000755,K,238,243
487,CRCNE00000755,B,248,253
488,CRCNE00000755,B,285,290
489,CRCNE00000755,C,291,298
490,CRCNE00000756:CRCNE00000757,3,168,174
491,CRCNE00000760,A,24,29
492,CRCNE00000761,4,84,91
493,CRCNE00000762,2,21,28
494,CRCNE00000762,B,41,46
495,CRCNE00000763:CRCNE00000764:CRCNE00000765,O,12,17
496,CRCNE00000763:CRCNE00000764:CRCNE00000765,O,87,92
497,CRCNE00000763:CRCNE00000764:CRCNE00000765,0,138,145
498,CRCNE00000763:CRCNE00000764:CRCNE00000765,5,147,153
499,CRCNE00000763:CRCNE00000764:CRCNE00000765,Q,174,180
500,CRCNE00000763:CRCNE00000764:CRCNE00000765,5,330,336
501,CRCNE00000763:CRCNE00000764:CRCNE00000765,O,333,338
502,CRCNE00000766,A,13,18
503,CRCNE00000768,B,73,78
504,CRCNE00000769:CRCNE00000770,O,15,20
505,CRCNE00000769:CRCNE00000770,3,17,23
506,CRCNE00000769:CRCNE00000770,0,134,141
507,CRCNE00000771,4,17,24
508,CRCNE00000771,O,81,86
509,CRCNE00000771,K,124,129
510,CRCNE00000771,0,147,154
511,CRCNE00000772:CRCNE00000749,E,162,168
512,CRCNE00000772:CRCNE00000749,I,199,206
513,CRCNE00000777,2,65,72
514,CRCNE00000778,G,23,28
515,CRCNE00000784,Q,1,7
516,CRCNE00000788,0,23,30
517,CRCNE00000791:CRCNE00000799,B,49,54
518,CRCNE00000791:CRCNE00000799,O,103,108
519,CRCNE00000791:CRCNE00000799,3,140,146
520,CRCNE00000800:CRCNE00000906,A,15,20
521,CRCNE00000800:CRCNE00000906,4,37,44
522,CRCNE00000800:CRCNE00000906,B,102,107
523,CRCNE00000800:CRCNE00000906,0,178,185
524,CRCNE00000800:CRCNE00000906,H,338,347
525,CRCNE00000800:CRCNE00000906,K,482,487
526,CRCNE00000800:CRCNE00000906,B,488,493
527,CRCNE00000817,B,11,16
528,CRCNE00000837:CRCNE00000836,K,88,93
529,CRCNE00000842,A,153,158
530,CRCNE00000842,3,168,174
531,CRCNE00000843,0,97,104
532,CRCNE00000843,R,116,122
533,CRCNE00000843,B,195,200
534,CRCNE00000844,O,11,16
535,CRCNE00000844,K,27,32
536,CRCNE00000844,K,55,60
537,CRCNE00000844,O,151,156
538,CRCNE00000844,0,197,204
539,CRCNE00000846,B,32,37
540,CRCNE00000847,O,13,18
541,CRCNE00000847,0,18,25
542,CRCNE00000849,H,12,21
543,CRCNE00000849,O,110,115
544,CRCNE00000850,3,59,65
545,CRCNE00000850,R,80,86
546,CRCNE00000850,R,81,87
547,CRCNE00000850,A,145,150
548,CRCNE00000852:CRCNE00000783:CRCNE00000851,A,61,66
549,CRCNE00000852:CRCNE00000783:CRCNE00000851,A,273,278
550,CRCNE00000853,A,119,124
551,CRCNE00000854,G,9,14
552,CRCNE00000855,S,112,118
553,CRCNE00000855,0,120,127
554,CRCNE00000855,0,146,153
555,CRCNE00000856,3,140,146
556,CRCNE00000856,O,143,148
557,CRCNE00000858:CRCNE00000857,J,127,134
558,CRCNE00000858:CRCNE00000857,J,150,157
559,CRCNE00000858:CRCNE00000857,2,222,229
560,CRCNE00000859,I,77,84
561,CRCNE00000859,0,112,119
562,CRCNE00000859,S,176,182
563,CRCNE00000860,G,163,168
564,CRCNE00000861,3,73,79
565,CRCNE00000861,B,172,177
566,CRCNE00000861,U,175,181
567,CRCNE00000861,3,194,200
568,CRCNE00000862,4,29,36
569,CRCNE00000864:CRCNE00000863,5,222,228
570,CRCNE00000865,2,13,20
571,CRCNE00000865,H,57,66
572,CRCNE00000865,G,59,64
573,CRCNE00000866,S,30,36
574,CRCNE00000866,3,130,136
575,CRCNE00000866,A,202,207
576,CRCNE00000867,G,87,92
577,CRCNE00000868,0,107,114
578,CRCNE00000869,E,26,32
579,CRCNE00000871,B,20,25
580,CRCNE00000871,0,228,235
581,CRCNE00000872,0,33,40
582,CRCNE00000872,B,92,97
583,CRCNE00000872,O,105,110
584,CRCNE00000873,K,32,37
585,CRCNE00000875,B,27,32
586,CRCNE00000875,B,72,77
587,CRCNE00000875,3,84,90
588,CRCNE00000878,B,36,41
589,CRCNE00000878,5,81,87
590,CRCNE00000878,O,131,136
591,CRCNE00000878,A,172,177
592,CRCNE00000878,K,175,180
593,CRCNE00000878,D,269,276
594,CRCNE00000878,K,271,276
595,CRCNE00000880:CRCNE00000879,H,128,137
596,CRCNE00000880:CRCNE00000879,2,173,180
597,CRCNE00000880:CRCNE00000879,M,276,282
598,CRCNE00000880:CRCNE00000879,A,326,331
599,CRCNE00000881,K,23,28
600,CRCNE00000883,7,27,34
601,CRCNE00000885,G,13,18
602,CRCNE00000886,L,10,17
603,CRCNE00000886,B,34,39
604,CRCNE00000886,B,59,64
605,CRCNE00000886,O,116,121
606,CRCNE00000886,H,118,127
607,CRCNE00000886,S,129,135
608,CRCNE00000887,0,38,45
609,CRCNE00000887,K,58,63
610,CRCNE00000887,G,98,103
611,CRCNE00000888,B,97,102
612,CRCNE00000888,I,102,109
613,CRCNE00000894:CRCNE00000893:CRCNE00000892,B,91,96
614,CRCNE00000894:CRCNE00000893:CRCNE00000892,H,374,383
615,CRCNE00000894:CRCNE00000893:CRCNE00000892,G,376,381
616,CRCNE00000894:CRCNE00000893:CRCNE00000892,3,416,422
617,CRCNE00000894:CRCNE00000893:CRCNE00000892,B,471,476
618,CRCNE00000894:CRCNE00000893:CRCNE00000892,H,480,489
619,CRCNE00000894:CRCNE00000893:CRCNE00000892,M,498,504
620,CRCNE00000894:CRCNE00000893:CRCNE00000892,2,533,540
621,CRCNE00000895,3,68,74
622,CRCNE00000895,K,125,130
623,CRCNE00000897,H,33,42
624,CRCNE00000898,B,84,89
625,CRCNE00000899,S,185,191
626,CRCNE00000900,G,26,31
627,CRCNE00000900,5,28,34
628,CRCNE00000900,5,61,67
629,CRCNE00000900,S,68,74
